source_dir	cluster_id	cluster_name	current_anchor_t	blanket_anchor_t	shift_s	blanket_anchor_signals	current_anchor_signals	positive_control	raw_description	bridge_anchor_t	bridge_shift_s	bridge_fired	bridge_reason	classification
may8_innings1_predicted	27	c27_anchor1640	1640.0	1632.0	8.0	VY SY MY M2Y Wn KY SSY CGY rc=1	VY Sn MY M2Y WY KY SSY CGY rc=7		"The camera shows a close-up shot of a cricket player, Kartik Tyagi, standing on the field. He is holding a ball and appears to be preparing to bowl. The player is wearing a purple and yellow jersey with various sponsor logos. There are several graphical overlays on the screen, including a score graphic at the bottom that displays the current score (""DC 39-0"") and the player's statistics (""KARTIK TYAGI IPL CAREER: MATCHES 30, WICKETS 26, ECONOMY 9.9""). Additionally, there are logos for Tata IPL and JioHotstar in the top corners of the screen. The action level appears to be low, as the player is not actively engaged in play but rather seems to be preparing for his next action. Overall, the frame suggests that it is a moment between deliveries or before the player is about to bowl."	1632.0	8.0	Y	fired_at_t=1632.0	CORRECT
may8_innings1_predicted	32	c32_anchor1874	1874.0	1870.0	4.0	VY Sn MY M2Y WY KY SSY CGY rc=1	VY Sn MY M2Y WY KY SSY CGY rc=6		"The camera shows a wide field view of a cricket player in a blue uniform with red accents, wearing a helmet and holding a bat, standing on the field. The player appears to be preparing to hit the ball or has just hit it. In the background, spectators are seated in the stands, watching the game. A player in a purple uniform is on the field, and several people are standing behind a fence. The people in the frame are primarily watching the game, with some standing and others sitting. The player in blue is focused on the field, while the player in purple appears to be waiting for the next play. There are several graphical overlays, including a red banner with the ""KINGFISHER"" logo, a blue and red bar at the bottom displaying the teams' names, scores, and player statistics. The action level appears to be a moment of active play or preparation for the next play, as the player is holding the bat and looking towards the field."	1874.0	0.0	N	no_qualifying_candidate	PHANTOM
may8_innings1_predicted	38	c38_anchor2220	2220.0	2215.0	5.0	VY Sn MY M2Y WY KY SSY CGY rc=5	VY SY MY M2Y WY KY SSY CGY rc=7		"The camera shows a wide field view of a cricket pitch with six people on it. The batter is bending over and preparing to play a delivery, while the bowler stands on the right side of the frame on a white circle, and three fielders stand on white circles on the field. A wicketkeeper stands behind the batter. There are several graphical overlays on the frame, including sponsor logos, a score graphic showing the score and player statistics, and a purple and gold ""TATA IPL"" logo in the top-left corner. The action level appears to be pre-delivery, as the bowler is standing still and the batter is preparing to hit the ball. The atmosphere suggests that the game is live and being broadcast to a large audience, as indicated by the ""JioHotstar LIVE 3.3Cr Views"" text in the top-right corner."	2215.0	5.0	Y	fired_at_t=2215.0	PHANTOM
may8_innings1_predicted	64	c64_anchor3232	3232.0	3222.0	10.0	VY Sn MY M2Y WY KY SSY CGY rc=6	VY Sn MY M2Y WY KY SSY CGY rc=4	Y	"The camera shows a wide field view of a cricket pitch with several players and an umpire. The players are not actively engaged in play; one batter is standing near the wicket with their bat down, while another player walks off the field and a bowler appears to have just delivered the ball. A wicketkeeper crouches behind the wicket, and an umpire stands on the pitch. There are several graphical overlays on the screen, including a score graphic at the bottom showing the teams' names, scores, and player statistics, as well as sponsor logos and a ""JioHotstar LIVE"" label in the top-right corner. The action level appears to be between deliveries, as the players are not in active motion."	3222.0	10.0	Y	fired_at_t=3222.0	CORRECT
may8_innings1_predicted	66	c66_anchor3282	3282.0	3276.0	6.0	VY Sn MY M2n WY Kn SSY CGY rc=3	VY Sn MY M2n WY Kn SSY CGY rc=2	Y	The camera shows a wide field view of a cricket field with players and a crowd in the background. The people in the frame are engaged in a moment of play, with two players on the field facing each other, one wearing blue and red and the other purple, while a third player in purple stands behind them; the crowd is watching intently. There are several graphical overlays, including a score graphic at the bottom of the screen displaying team names, scores, and player statistics, as well as sponsor logos along the boundary of the field. The action level appears to be a moment between deliveries, as the players are not in motion, and the bowler seems to have just delivered the ball.	3276.0	6.0	Y	fired_at_t=3276.0	CORRECT
may8_innings1_predicted	68	c68_anchor3407	3407.0	3401.0	6.0	VY Sn MY M2Y WY Kn SSY CGY rc=4	VY Sn MY M2Y WY KY SSY CGY rc=1	Y	The camera shows a wide field view of a cricket match in progress. The players are positioned on the field, with one player in a blue uniform at bat and another player in a purple uniform about to bowl the ball, while other players are fielding or standing near the wickets. There are several graphical overlays visible, including a score graphic at the bottom of the screen displaying the teams' names, scores, and player statistics, as well as sponsor logos in the top corners. The action level appears to be just before the ball is bowled, as the bowler is in motion and the batter is preparing to hit the ball. The scene suggests that play is about to resume after a brief pause.	3401.0	6.0	Y	fired_at_t=3401.0	CORRECT
may8_innings1_predicted	85	c85_anchor4278	4278.0	4263.0	15.0	VY SY MY M2n WY KY SSY CGY rc=2	VY SY MY M2Y Wn KY SSY CGY rc=5		"The camera shows a wide field view of a cricket field with players and a crowd in the background. The people in the frame are a batsman standing still, likely having just played a shot or been called not out, and two players from the opposing team walking on the field. There are several graphical overlays, including a score graphic in the bottom-left corner showing ""DC 91-5 12.2"", a sponsor logo for TATA IPL in the top-left corner, and a ""KNIGHT RIDERS REVIEW ORIGINAL DECISION - NOT OUT"" banner in the bottom-right corner. The action level appears to be a post-action moment, with players not actively engaged in play."	4263.0	15.0	Y	fired_at_t=4263.0	PHANTOM
may8_innings1_predicted	86	c86_anchor4300	4300.0	4293.0	7.0	VY Sn MY M2Y WY Kn SSY CGY rc=5	VY SY MY M2n WY KY SSY CGY rc=2		The camera shows a wide field view of a cricket match in progress. The players are positioned around the pitch, with one player in a blue uniform preparing to bowl, another player in blue standing at the crease with a bat, and fielders positioned around the field. A score graphic is overlaid at the bottom of the screen, displaying information such as the score, run rate, and player statistics. The action level appears to be an active play moment, as the bowler is about to deliver the ball and the batter is standing ready. The scene suggests that the game is currently underway, with the players engaged in a competitive moment.	4293.0	7.0	Y	fired_at_t=4293.0	CORRECT
may8_innings1_predicted	92	c92_anchor4514	4514.0	4491.0	23.0	VY Sn MY M2Y WY Kn SSY CGY rc=3	VY SY MY M2Y WY KY SSY CGY rc=4		The camera shows a wide field view of a cricket pitch with two people in the frame. A player in a purple and yellow uniform appears to be running toward the umpire on the left, who is wearing a black and red uniform and appears to be holding a small object. There are graphical overlays at the bottom of the frame displaying information about the game, including the teams, scores, and player names. The scene suggests a moment during the game when the bowler has just delivered the ball and is now running, possibly to celebrate or react to the play.	4491.0	23.0	Y	fired_at_t=4491.0	CORRECT
may8_innings1_predicted	99	c99_anchor4924	4924.0	4920.0	4.0	VY Sn MY M2n WY Kn SSY CGY rc=1	VY Sn MY M2Y WY KY SSY CGY rc=6		"The camera shows a wide field view of a cricket field with a player bending over in the middle. The people in the frame are watching the game, with the player on the field appearing to be preparing to bowl or having just bowled, while the crowd is seated and observing the game. There are several graphical overlays, including sponsor logos such as Puma, a score graphic showing the score ""97-5"" and ""14.3"" overs, as well as player names and statistics. The action level appears to be a moment between deliveries, with the player on the field poised for action and the crowd waiting expectantly."	4924.0	0.0	N	no_qualifying_candidate	CORRECT
may9_o1_b1to6_predicted	4	c4_anchor2989	2989.0	2981.0	8.0	VY Sn MY M2n WY Kn SSY CGY rc=2	VY Sn MY M2Y WY Kn SSY CGY rc=4	Y	"The camera shows a wide field view of a cricket pitch with players on the field and a crowd in the background. The people in the frame are standing still, with one player on the right side of the frame appearing to have just swung a bat. Graphical overlays include sponsor logos, a score graphic at the bottom of the frame, and a blue box on the right side of the frame that reads ""FREE-HIT."" The action level appears to be a moment between deliveries, as the players are not actively engaged in play."	2981.0	8.0	Y	fired_at_t=2981.0;empty_in_bridge=1	PHANTOM
may9_o2_b2to6_predicted	10	c10_anchor3632	3632.0	3627.0	5.0	VY Sn MY M2Y WY KY SSY CGY rc=2	VY SY MY M2Y WY KY SSY CGY rc=4		"The camera shows a wide field view of a cricket player in a batting stance, with a wicketkeeper standing behind the stumps and a crowd of spectators in the background. The player is wearing a blue uniform and holding a bat, while the wicketkeeper is dressed in pink and standing near the wickets. The crowd appears to be watching the game intently. There are several graphical overlays on the screen, including a score graphic at the bottom that displays the teams' names, the current score (26-0), and the player's name and stats (Sudharsan Gill). Additionally, there are sponsor logos visible along the boundary of the field, including RuPay and Tata AIG. A ""JioHotstar LIVE"" logo is also present in the top-right corner, indicating that the match is being broadcast live. The action level appears to be relatively calm, as the player is preparing to face the next delivery or has just played a shot. The overall atmosphere suggests that the game is in progress, but there is no intense action happening at this specific moment."	3627.0	5.0	Y	fired_at_t=3627.0	PHANTOM
may9_o3_b2to6_predicted	9	c9_anchor3957	3957.0	3951.0	6.0	VY Sn MY M2Y WY KY SSY CGY rc=3	VY Sn MY M2Y WY Kn SSY CGY rc=4		The camera shows a wide field view of a cricket field with a batter standing near the wickets. The batter appears to be preparing to play the next delivery, while a fielder stands in the background. A crowd watches from the stands behind a railing. There are several graphical overlays on the screen, including a blue score graphic at the bottom showing the score, team logos, and player information. Additional overlays display sponsor logos, such as Kingfisher and AngelOne. The action level appears to be between deliveries, as the batter seems to be waiting for the next ball to be bowled. The overall atmosphere suggests that the game is live and being broadcast on television.	3951.0	6.0	Y	fired_at_t=3951.0	CORRECT
